Customer Tier,Transaction date,Replace,Remove,Firedoor,Drop Test,Bumpers,Is_customer_Lenworth,Specialty Door,Dock Seal,Door(general),Hardware/Parts,Dimensions,Column1,Work_type,sqft_services,Flat_Services,Operator/Opener,Install,Quantity,Sales price,Amount,Totals,Distance,service,Distance Tier,unique,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,door_width,door_height,door_sqft,size_source,size_confidence,size_note
Recurring,15/05/2023,0,0,0,0,0,0,0,0,1,0,9 * 8,,Supply & Install,Door (General),,0,0,1.0,3820.0,3820.0,4316.6,412.0,Door (General) Supply & Install,4,,,,,,,,630.0,back_calculated,high,back_calculated | raw=631.4 snapped=630
Recurring,27/07/2024,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,3750.0,3750.0,4237.5,254.0,Door (General) Install,2,,,,,,,,620.0,back_calculated,high,back_calculated | raw=619.8 snapped=620
Loyalty,10/12/2025,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,1.0,3750.0,3750.0,4237.5,266.81,Door (General) Install,2,,,,,,,,850.0,back_calculated,high,back_calculated | raw=852.3 snapped=850
Recurring,17/03/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,2.0,3630.0,7260.0,8203.8,119.96,Door (General) Install,1,,,,,,,,600.0,back_calculated,high,back_calculated | raw=600.0 snapped=600
Recurring,01/02/2023,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,3600.0,3600.0,4068.0,58.01,Door (General) Install,0,,,,,,,,595.0,back_calculated,high,back_calculated | raw=595.0 snapped=595
Loyalty,20/11/2021,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,1.0,100.0,3600.0,4068.0,109.0,Door (General) Install,1,,,,,,,,,standard_default,low,no_size_applicable
Recurring,31/12/2022,0,0,0,0,0,0,0,0,1,0,14 * 8,,Install,Door (General),,0,1,1.0,3550.0,3550.0,4011.5,231.4,Door (General) Install,2,,,,,,,,585.0,back_calculated,high,back_calculated | raw=586.8 snapped=585
Recurring,06/06/2025,0,0,0,0,0,0,0,0,1,0,,,Supply & Install,Door (General),Operator/Opener,0,0,1.0,3525.0,3525.0,3983.25,204.0,Door (General) Supply & Install,2,,,,,,,,585.0,back_calculated,high,back_calculated | raw=582.6 snapped=585
Recurring,22/04/2023,0,1,0,0,0,0,0,0,1,0,20.6 * 22,,Remove and Replace,Door (General),,0,0,1.0,3500.0,3500.0,3955.0,45.1,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,15/05/2023,0,0,0,0,0,0,0,0,1,0,9 * 7,,Supply & Install,Door (General),,0,0,2.0,3480.0,6960.0,7864.8,412.0,Door (General) Supply & Install,4,,,,,,,,575.0,back_calculated,high,back_calculated | raw=575.2 snapped=575
Recurring,21/02/2024,0,0,0,0,0,0,0,0,1,0,12 * 8,,Supply & Install,Door (General),,0,0,1.0,3450.0,3450.0,3898.5,119.59,Door (General) Supply & Install,1,,,,,,,,570.0,back_calculated,high,back_calculated | raw=570.2 snapped=570
Recurring,29/03/2024,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,2.0,3375.0,6750.0,7627.5,160.0,Door (General) Install,1,,,,,,,,560.0,back_calculated,high,back_calculated | raw=557.9 snapped=560
Recurring,21/10/2025,0,0,0,0,0,0,0,0,1,0,12 * 8 & 8 * 8,,Supply & Install,Door (General),,0,0,2.0,6725.0,6725.0,7599.25,232.0,Door (General) Supply & Install,2,,,,,,,,1110.0,back_calculated,high,back_calculated | raw=1111.6 snapped=1110
New,27/09/2025,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,6.0,20000.0,20000.0,22600.0,156.01,Door (General) Install,1,,,,,,,,3305.0,back_calculated,high,back_calculated | raw=3305.8 snapped=3305
Loyalty,14/12/2020,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,6.0,21200.0,21200.0,23956.0,167.35,Door (General) Install,1,,,,,,,,4820.0,back_calculated,high,back_calculated | raw=4818.2 snapped=4820
Recurring,02/08/2021,0,0,0,0,0,0,0,0,1,0,16 * 8,,Supply & Install,Door (General),,0,0,1.0,3280.0,3280.0,3706.4,468.78,Door (General) Supply & Install,4,,,,,,,,540.0,back_calculated,high,back_calculated | raw=542.1 snapped=540
New,18/12/2020,0,0,0,0,0,0,0,0,1,0,,,Supply & Install,Door (General),,0,0,1.0,3270.0,3270.0,3695.1,34.03,Door (General) Supply & Install,0,,,,,,,,540.0,back_calculated,high,back_calculated | raw=540.5 snapped=540
Loyalty,26/11/2022,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,1.0,3268.0,3268.0,3692.84,68.56,Door (General) Install,0,,,,,,,,745.0,back_calculated,high,back_calculated | raw=742.7 snapped=745
Recurring,02/12/2024,0,0,0,0,0,0,0,0,1,0,10 * 8,,Supply & Install,Door (General),,0,0,2.0,3240.0,6480.0,7322.4,404.55,Door (General) Supply & Install,4,,,,,,,,535.0,back_calculated,high,back_calculated | raw=535.5 snapped=535
