Customer Tier,Transaction date,Replace,Remove,Firedoor,Drop Test,Bumpers,Is_customer_Lenworth,Specialty Door,Dock Seal,Door(general),Hardware/Parts,Dimensions,Column1,Work_type,sqft_services,Flat_Services,Operator/Opener,Install,Quantity,Sales price,Amount,Totals,Distance,service,Distance Tier,unique,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,door_width,door_height,door_sqft,size_source,size_confidence,size_note
Recurring,22/11/2024,0,0,0,0,0,0,0,0,1,0,,,Service Call,Door (General),,0,0,1.0,400.0,400.0,452.0,33.6,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,23/04/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),Operator/Opener,0,1,1.0,400.0,400.0,452.0,34.03,Door (General) Install,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,15/05/2023,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,4.0,400.0,1600.0,1808.0,51.46,Door (General) Install,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,29/04/2022,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,2.0,400.0,800.0,904.0,51.62,Door (General) Install,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,14/05/2021,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,6.0,400.0,2400.0,2712.0,67.23,Door (General) Install,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,20/03/2023,0,0,0,0,0,0,0,0,0,0,,,Install,Fire Door,Drop Test,0,1,10.0,650.0,6500.0,7345.0,68.83,Fire Door Install,0,,,,,,3.0,7.0,21.0,standard_default,low,standard_size_default
Loyalty,29/05/2024,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,42.0,400.0,16800.0,18984.0,71.44,Door (General) Install,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,17/05/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,3.0,400.0,1200.0,1356.0,91.99,Door (General) Install,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,25/04/2024,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,60.0,400.0,24000.0,27120.0,125.04,Door (General) Install,1,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,21/03/2026,0,0,0,0,0,1,0,0,0,0,,,Install,Traffic/Crash Door,,0,1,4.0,400.0,1600.0,1808.0,156.01,Traffic/Crash Door Install,1,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,29/09/2021,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,60.0,400.0,24000.0,27120.0,173.81,Door (General) Install,1,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,06/10/2021,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,20.0,400.0,8000.0,9040.0,173.81,Door (General) Install,1,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,10/10/2025,0,1,0,0,0,1,0,0,0,0,,,Remove and Replace,High Speed Door,,0,0,4.0,1600.0,1600.0,1808.0,310.83,,3,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,24/07/2023,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,25.0,350.0,8750.0,9887.5,27.56,Door (General) Install,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,26/11/2022,1,0,0,0,0,1,0,0,0,0,,,Replace,,Operator/Opener,0,0,2.0,350.0,700.0,791.0,59.08,,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,20/03/2023,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,21.0,350.0,7350.0,8305.5,110.0,Door (General) Install,1,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,28/03/2023,0,0,0,0,0,1,0,0,0,0,,,Install,Traffic/Crash Door,,0,1,4.0,350.0,1400.0,1582.0,116.78,Traffic/Crash Door Install,1,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,03/05/2021,0,0,0,0,0,1,0,0,1,0,,,Repair,Door (General),Operator/Opener,0,0,3.0,1000.0,1000.0,1130.0,203.06,,2,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,27/02/2023,1,0,0,0,0,1,0,0,0,0,,,Replace,Other/Misc,,0,0,1.0,300.0,300.0,339.0,8.98,,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,30/06/2022,0,0,0,0,0,1,0,0,0,0,,,Service Call,Other/Misc,,0,0,1.0,300.0,300.0,339.0,17.9,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,07/06/2021,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),Operator/Opener,0,1,9.0,300.0,2700.0,3051.0,46.0,Door (General) Install,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,24/07/2023,0,0,0,0,0,0,0,0,0,0,,,Labor,,Extra Work,0,0,1.0,300.0,300.0,339.0,110.28,,1,,,,,,,,,standard_default,low,no_size_applicable
New,31/12/2022,0,0,0,0,0,0,0,0,0,0,,,Other/Misc,Remote/Photo Eye,,0,0,1.0,255.0,255.0,288.15,281.96,,2,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,28/03/2023,0,1,0,0,0,1,0,0,1,0,,,Remove,Door (General),,0,0,3.0,250.0,750.0,847.5,44.47,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,02/09/2021,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,3.0,200.0,600.0,678.0,20.55,,0,,,,,,,,,standard_default,low,no_size_applicable
New,12/01/2023,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),Operator/Opener,0,1,10.0,200.0,2000.0,2260.0,34.42,Door (General) Install,0,,,,,,,,,standard_default,low,no_size_applicable
New,08/07/2021,0,0,0,0,0,0,0,0,1,0,,,Other/Misc,Door (General),,0,0,1.0,200.0,200.0,226.0,47.07,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,06/12/2024,0,0,0,0,0,0,0,0,1,0,,,Service Call,Door (General),,0,0,1.0,200.0,200.0,226.0,54.2,,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,13/09/2021,0,0,0,0,0,1,0,0,1,0,,,Service Call,Door (General),,0,0,1.0,200.0,200.0,226.0,173.81,,1,,,,,,,,,standard_default,low,no_size_applicable
Recurring,14/05/2021,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),Operator/Opener,0,1,5.0,180.0,900.0,1017.0,17.58,Door (General) Install,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,26/02/2022,0,0,0,0,0,0,0,0,1,0,,,Repair,Door (General),,0,0,11.0,1800.0,1800.0,2034.0,34.03,,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,29/05/2024,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),Operator/Opener,0,1,102.0,150.0,15300.0,17289.0,71.44,Door (General) Install,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,22/11/2024,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,1.0,150.0,150.0,169.5,122.89,Door (General) Install,1,,,,,,,,,standard_default,low,no_size_applicable
Recurring,02/04/2025,1,0,0,0,0,0,0,0,1,0,,,Replace,Door (General),,0,0,5.0,120.0,600.0,678.0,64.0,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,26/03/2022,0,1,0,0,0,0,0,0,1,0,,,Remove,Door (General),,0,0,6.0,100.0,600.0,678.0,49.68,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,17/08/2021,0,0,0,0,0,0,0,0,1,0,,,Repair,Door (General),,0,0,6.5,100.0,650.0,734.5,50.78,,0,,,,,,,,,standard_default,low,no_size_applicable
