Quantity,Door_Size2,Transaction date,Is_customer_Lenworth2,Distance,Bumpers2,Operator/Opener2,Dock Seal2,Install2,Door(general)2,Drop Test2,Hardware/Parts2,Specialty Door2,Firedoor2,Replace2
5,22,0,0,64,0,0,0,0,1,0,0,0,0,1
1,0,0,1,65,0,0,0,0,0,0,1,0,0,1
1,473,0,0,66,0,0,0,1,0,0,0,0,0,0
1,473,0,0,66,0,0,0,1,0,0,0,0,0,0
1,391,0,0,67,0,0,0,0,1,0,0,0,0,0
1,255,0,1,67,0,0,0,1,0,0,0,0,0,0
6,73,0,1,67,0,0,0,1,1,0,0,0,0,0
1,255,0,1,67,0,0,0,1,1,0,0,0,0,0
7,182,0,1,67,0,0,0,1,0,0,0,0,0,0
1,136,0,0,68,0,0,0,1,0,1,0,0,0,0
1,836,0,0,68,0,0,0,1,0,0,0,0,0,0
1,1195,0,0,68,0,0,0,1,0,0,0,0,0,0
12,0,0,0,68,0,0,1,0,0,0,0,0,0,0
1,109,0,0,68,0,0,0,0,1,0,0,0,0,1
1,594,0,1,69,0,0,0,1,1,0,0,0,0,0
10,73,0,0,69,0,0,0,1,0,1,0,0,0,0
3,0,0,1,69,0,1,0,1,0,0,0,0,0,0
1,436,0,0,71,0,0,0,1,0,0,0,0,0,0
1,0,0,1,71,0,0,0,0,0,0,0,0,0,0
102,27,0,1,71,0,0,0,1,0,0,0,0,0,0
42,73,0,1,71,0,0,0,1,1,0,0,0,0,0
1,720,0,0,72,0,0,0,0,0,0,0,1,0,0
12,0,0,0,72,1,0,0,0,0,0,0,0,0,0
1,127,0,1,72,0,0,0,0,1,0,0,0,0,1
1,182,0,0,73,0,0,0,1,0,0,0,0,1,0
1,473,0,0,73,0,0,0,1,0,0,0,0,0,0
1,473,0,0,73,0,0,0,1,0,0,0,0,0,0
1,418,0,0,74,0,0,0,1,0,0,0,0,1,0
1,0,0,1,75,0,0,0,0,0,0,0,0,0,0
1,200,0,1,75,0,0,0,1,0,0,0,0,0,0
2,182,0,1,75,0,0,0,0,1,0,0,0,0,0
1,0,0,1,75,0,0,0,1,0,0,0,0,0,0
1,182,0,1,75,0,0,0,1,1,0,0,0,0,0
1,182,0,1,76,0,0,0,1,1,0,0,0,0,0
1,291,0,0,76,0,0,0,1,0,0,0,0,0,0
4,182,0,1,77,0,0,0,1,1,0,0,0,0,0
11,236,0,1,77,0,0,0,1,0,0,0,0,1,0
19,122,0,1,78,0,0,0,1,0,0,0,0,0,0
2,91,0,1,78,0,0,0,0,1,0,0,0,0,0
40,73,0,1,79,0,0,0,1,1,0,0,0,0,0
1,91,0,1,79,0,0,0,0,1,0,0,0,0,1
2,255,0,0,79,0,0,0,1,0,0,0,0,0,0
1,436,0,0,79,0,0,0,1,0,0,0,1,0,0
2,0,0,1,79,0,0,0,1,0,0,0,0,0,0
2,0,0,1,79,0,0,0,0,0,0,1,0,0,0
1,177,0,0,81,0,0,0,1,1,0,0,0,0,0
4,0,0,0,81,0,0,1,1,0,0,0,0,0,0
6,185,0,1,81,0,0,0,1,0,0,0,0,1,0
1,382,0,1,82,0,0,0,1,1,0,0,0,0,0
1,145,0,0,82,0,0,0,0,0,0,0,0,0,0
1,227,0,0,82,0,0,0,1,1,0,0,0,0,0
1,0,0,0,82,0,0,0,0,0,0,1,0,0,0
7,85,0,0,82,0,0,0,1,1,0,0,0,0,0
10,91,0,0,83,0,0,0,1,0,0,0,0,0,0
2,564,0,0,84,0,0,0,0,1,0,0,0,0,0
2,218,0,0,85,0,0,0,1,1,0,0,0,0,0
15,199,0,0,85,0,0,0,1,1,0,0,0,0,0
1,436,0,0,86,0,0,0,1,0,0,0,0,0,0
1,136,0,0,88,0,0,0,1,0,1,0,0,0,0
2,182,0,0,88,0,0,0,1,0,0,0,0,0,0
9,204,0,0,89,0,0,0,1,0,0,0,0,0,0
1,25,0,0,90,0,0,0,1,0,0,0,0,0,0
3,264,0,1,90,0,0,0,1,0,0,0,0,0,0
13,0,0,0,91,0,0,1,1,0,0,0,0,0,0
1,273,0,1,91,0,0,0,1,0,0,0,0,0,0
1,436,0,0,91,0,0,0,1,0,0,0,0,0,0
1,273,0,0,91,0,0,0,0,0,0,0,0,0,0
3,73,0,0,92,0,0,0,1,1,0,0,0,0,0
1,145,0,0,92,0,0,0,0,1,0,0,0,0,0
2,182,0,0,93,0,0,0,1,0,0,0,0,0,0
1,309,0,0,93,0,0,0,1,1,0,0,0,0,0
1,436,0,0,95,0,0,0,1,0,0,0,0,0,0
1,473,0,0,95,0,0,0,1,0,0,0,0,0,0
1,1364,0,1,96,0,0,0,1,1,0,0,0,0,0
1,0,0,1,96,0,0,0,0,0,0,0,0,0,0
3,218,0,0,97,0,0,0,1,0,0,0,0,0,0
1,145,0,1,102,0,0,0,1,0,0,0,0,1,0
1,10,0,1,102,0,0,0,1,1,0,0,0,0,0
1,0,0,1,103,0,0,0,0,0,0,1,0,0,1
8,18,0,1,104,0,0,0,1,1,0,0,0,0,0
1,436,0,0,105,0,0,0,1,0,0,0,0,0,0
2,18,0,0,108,0,0,0,0,0,0,0,0,0,0
1,18,0,0,108,0,0,0,0,0,0,0,0,0,0
1,282,0,0,108,0,0,0,0,1,0,0,0,0,0
1,173,0,1,108,0,0,0,0,0,0,0,0,0,0
1,0,0,1,108,0,0,0,0,0,0,0,0,0,0
26,103,0,1,108,0,0,0,1,1,0,0,0,0,0
3,145,0,1,109,0,0,0,0,1,0,0,0,0,0
1,655,0,1,109,0,0,0,1,1,0,0,0,0,0
1,327,0,1,109,0,0,0,1,1,0,0,0,0,0
1,436,0,0,109,0,0,0,1,0,0,0,0,0,0
